Language,Section,Title,PDF_URL,Version,Date,Corrections_URL,Status,Notes
Sanskrit,Vedic Books by Subject,1) Shanti Japam - Sanskrit,https://vedavms.in/docs/Shanti-Japam/Shanti%20Japam%20Sanskrit.pdf,V5.0,"Sep 30, 2025",https://vedavms.in/docs/Shanti-Japam/Shanti%20Japam%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,Vedic Books by Subject,"2) TaittirIyopanishat ,Arunaprasnam,Trinaaciketam-Sanskrit",https://vedavms.in/docs/TU/Taittiriya%20Upanishad%20Sanskrit.pdf,V3.3,"Jul 31, 2022",https://vedavms.in/docs/TU/TU%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,Vedic Books by Subject,2A) Surya namaskara mantrA-Sanskrit,https://vedavms.in/docs/TU/surya%20namaskaram%20Sanskrit.pdf,V0.0,"Nov 30, 2021",https://vedavms.in/docs/TU/surya%20namaskaram%20Sanskrit%20corrections.pdf,Active,
Sanskrit,Vedic Books by Subject,3) Udaka Shanti - Sanskrit,https://vedavms.in/docs/US/Udaka%20Shanti%20Sanskrit.pdf,V4.2,"Jul 31, 2022",https://vedavms.in/docs/US/US%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,Vedic Books by Subject,3A) Udaka Shanti - Sanskrit AnuShangam with Continuous text new,https://vedavms.in/docs/US/Udaka%20Shanti%20Sanskrit%20ASCT.pdf,,"Jul 31, 2022",,Active,
Sanskrit,Vedic Books by Subject,3B) Udaka Shanti - Sanskrit only AnuShangam,https://vedavms.in/docs/US/Udaka%20Shanti%20Sanskrit%20OAS.pdf,,"Jul 31, 2022",,Active,
Sanskrit,Vedic Books by Subject,3C) Udaka Shanti - Sanskrit without AnuShangam,https://vedavms.in/docs/US/Udaka%20Shanti%20Sanskrit%20WOAS.pdf,,"Jul 31, 2022",,Active,
Sanskrit,Vedic Books by Subject,4) Siva Stuti - Sanskrit,https://vedavms.in/docs/Shiva-Stuti/Siva%20Stuti%20Sanskrit.pdf,V4.1,"Aug 31, 2022",https://vedavms.in/docs/Shiva-Stuti/Siva%20Stuti%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,Vedic Books by Subject,"5) acChidram, aSvamedam & kAThakam - Sanskrit",https://vedavms.in/docs/TB/TB%203.7-3.12%20Sanskrit.pdf,,"Nov 30, 2024",https://vedavms.in/docs/TB/TB%203.7-3.12%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,Vedic Books by Subject,6) aBiSravaNam-Sanskrit,https://vedavms.in/docs/abhishravaNa/abhishravaNam%20Sanskrit.pdf,,"Sep 30, 2022",https://vedavms.in/docs/abhishravaNa/abhishravaNam%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,Vedic Books by Subject,7) Chamaka Ghanam - Sanskrit,https://vedavms.in/docs/Ghanam/Chamaka%20Ghanam%20Sanskrit.pdf,V2.0,"Nov 30, 2025",https://vedavms.in/docs/Ghanam/Chamaka%20Ghanam%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,Vedic Books by Subject,8) Chamaka Jatai - Sanskrit,https://vedavms.in/docs/Ghanam/Chamaka%20Jatai%20Sanskrit.pdf,V2.0,"Nov 30, 2025",https://vedavms.in/docs/Ghanam/Chamaka%20Jatai%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,Vedic Books by Subject,9) Rudra Ghanam - Sanskrit,https://vedavms.in/docs/Ghanam/Rudra%20Ghanam%20Sanskrit.pdf,V2.0,"Nov 30, 2025",https://vedavms.in/docs/Ghanam/Rudra%20Ghanam%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,Vedic Books by Subject,10) Rudra Jatai - Sanskrit,https://vedavms.in/docs/Ghanam/Rudra%20Jatai%20Sanskrit.pdf,V2.0,"Nov 30, 2025",https://vedavms.in/docs/Ghanam/Rudra%20Jatai%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,Vedic Books by Subject,11) Ekaagni Kaandam - (with Padam)- Sanskrit,https://vedavms.in/docs/ekAgni/Ekaagni%20Kaandam%20Sanskrit.pdf,V1.0,"Oct 31, 2025",https://vedavms.in/docs/ekAgni/Ekaagni%20Kaandam%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,Vedic Books by Subject,12) Svasti VAchanam - Sanskrit,https://vedavms.in/docs/Veda-SIRAS/Svastivachanam%20Sanskrit.pdf,,"Mar 31, 2020",,Active,
Sanskrit,Vedic Books by Subject,13) Rudra Kramam - Sanskrit Column,https://vedavms.in/docs/Shiva-Stuti/Rudra%20Kramam%20Sanskrit%20Column.pdf,,"Aug 31, 2022",,Active,
Sanskrit,Vedic Books by Subject,14) Chamaka Kramam - Sanskrit Column,https://vedavms.in/docs/Shiva-Stuti/Chamaka%20Kramam%20Sanskrit%20Column.pdf,,"Aug 31, 2022",,Active,
Sanskrit,Vedic Books by Subject,15) KalyaNa ASeervada Mantras - Sanskrit,https://vedavms.in/docs/TB/Kalyana%20Asheervadams-Sanskrit.pdf,,"Sep 30, 2024",,Active,
Sanskrit,TaittirIya SamhitA,TaittirIya samhitA - kANDam 1- Sanskrit,https://vedavms.in/docs/TS/TS%201%20Sanskrit.pdf,V3.1,"Jul 31, 2025",https://vedavms.in/docs/TS/TS%201%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,TaittirIya SamhitA,TaittirIya samhitA - kANDam 2- Sanskrit,https://vedavms.in/docs/TS/TS%202%20Sanskrit.pdf,V2.0,"Jun 30, 2024",https://vedavms.in/docs/TS/TS%202%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,TaittirIya SamhitA,TaittirIya samhitA - kANDam 3- Sanskrit,https://vedavms.in/docs/TS/TS%203%20Sanskrit.pdf,V2.0,"Jun 30, 2024",https://vedavms.in/docs/TS/TS%203%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,TaittirIya SamhitA,TaittirIya samhitA - kANDam 4- Sanskrit,https://vedavms.in/docs/TS/TS%204%20Sanskrit.pdf,V2.0,"Jun 30, 2024",https://vedavms.in/docs/TS/TS%204%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,TaittirIya SamhitA,TaittirIya samhitA - kANDam 5- Sanskrit,https://vedavms.in/docs/TS/TS%205%20Sanskrit.pdf,V2.0,"May 31, 2025",https://vedavms.in/docs/TS/TS%205%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,TaittirIya SamhitA,TaittirIya samhitA - kANDam 6- Sanskrit,https://vedavms.in/docs/TS/TS%206%20Sanskrit.pdf,V2.0,"Apr 30, 2026",https://vedavms.in/docs/TS/TS%206%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,TaittirIya SamhitA,TaittirIya samhitA - kANDam 7- Sanskrit,https://vedavms.in/docs/TS/TS%207%20Sanskrit.pdf,V1.1,"Sep 30, 2021",https://vedavms.in/docs/TS/TS%207%20Sanskrit%20Corrections.pdf,Active,
Sanskrit,TaittirIya SamhitA,TaittirIya samhitA - First and Last Panchati - Sanskrit,https://vedavms.in/docs/TS/TS%20First%20and%20last%20Panchati%20-%20Sanskrit.pdf,V0.0,"Jun 30, 2025",,Active,
Sanskrit,TaittirIya SamhitA,TaittirIya samhitA - Index-Alphabetical- Sanskrit,https://vedavms.in/docs/TS/TS_Index_Alpha_31032024.pdf,,"Mar 31, 2024",,Active,
Sanskrit,TaittirIya SamhitA,TaittirIya samhitA - Index-Panchaatiwise- Sanskrit,https://vedavms.in/docs/TS/TS_Index_Panchaati_31032024.pdf,,"Mar 31, 2024",,Active,
